PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;INSTELLINGSCODE ACTUEEL;INSTELLINGSNAAM ACTUEEL;ONDERDEEL;SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2020;2021;2022;2023;2024
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56826;B Communicatie- en Informatiewetenschappen;voltijd onderwijs;vrouw;366;356;302;254;229
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;man;294;289;265;276;251
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;vrouw;263;278;245;260;203
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;man;151;164;142;128;129
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;vrouw;68;73;69;57;53
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60099;M Onderwijswetenschappen;voltijd onderwijs;man;10;10;15;13;11
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60099;M Onderwijswetenschappen;voltijd onderwijs;vrouw;79;69;75;63;65
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;man;5;<5;<5;8;10
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;vrouw;17;17;15;15;18
Gelderland;0268;Nijmegen;reguliere inst.;master;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;man;83;99;92;90;89
